Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand	Ensembl Gene ID
17	435144	435236	-1	ENSMGAG00000000218
1	12615877	12615954	-1	ENSMGAG00000002042
1	138739212	138739295	-1	ENSMGAG00000000469
1	528984	529078	-1	ENSMGAG00000000335
2	77403241	77403431	1	ENSMGAG00000017317
26	3353817	3353906	1	ENSMGAG00000000610
21	4420291	4420426	1	ENSMGAG00000017019
21	5780093	5780192	-1	ENSMGAG00000000438
12	5217128	5217201	1	ENSMGAG00000000254
28	1576584	1576675	-1	ENSMGAG00000000387
5	20342787	20342988	-1	ENSMGAG00000000286
2	18652881	18652985	1	ENSMGAG00000000479
5	15925081	15925182	1	ENSMGAG00000000516
14	2959517	2959608	-1	ENSMGAG00000000333
1	736421	736518	1	ENSMGAG00000000259
2	115841224	115841358	-1	ENSMGAG00000000424
11	20543778	20543892	-1	ENSMGAG00000000378
2	113473474	113473549	-1	ENSMGAG00000000046
3	9845334	9845407	-1	ENSMGAG00000000225
23	2662896	2662979	-1	ENSMGAG00000000099
2	111069251	111069340	-1	ENSMGAG00000000556
1	200444475	200444565	-1	ENSMGAG00000000009
1	174951825	174951896	-1	ENSMGAG00000016648
6	2134853	2134943	-1	ENSMGAG00000000389
4	52946182	52946279	1	ENSMGAG00000000494
4	27532129	27532211	1	ENSMGAG00000000196
7	11519451	11519576	-1	ENSMGAG00000000515
15	4178903	4178980	1	ENSMGAG00000000496
3	91652408	91652476	1	ENSMGAG00000000283
13	19192461	19192521	1	ENSMGAG00000000311
1	150558488	150558581	-1	ENSMGAG00000017333
2	18652575	18652649	1	ENSMGAG00000000171
1	110320139	110320225	-1	ENSMGAG00000000280
4	44862808	44862896	-1	ENSMGAG00000016636
4	39203101	39203173	1	ENSMGAG00000000237
GL425104.1	1053	1146	1	ENSMGAG00000000566
3	52007832	52007916	-1	ENSMGAG00000000573
28	1576782	1576873	-1	ENSMGAG00000000070
10	21656327	21656427	1	ENSMGAG00000016425
15	7396630	7396727	-1	ENSMGAG00000000607
12	16586448	16586521	1	ENSMGAG00000000495
4	39202360	39202424	1	ENSMGAG00000000437
19	5199660	5199753	1	ENSMGAG00000000371
7	24945925	24946031	1	ENSMGAG00000000279
7	698916	699001	1	ENSMGAG00000000522
22	8886858	8886928	1	ENSMGAG00000000096
26	5041398	5041480	-1	ENSMGAG00000000316
1	98676166	98676250	1	ENSMGAG00000000111
4	39202665	39202731	1	ENSMGAG00000000578
19	4780828	4780913	1	ENSMGAG00000000388
12	3699383	3699467	-1	ENSMGAG00000000133
2	57944756	57944833	-1	ENSMGAG00000016538
1	154014686	154014778	-1	ENSMGAG00000000090
4	29423251	29423343	1	ENSMGAG00000000204
GL424470.1	523	613	-1	ENSMGAG00000000409
5	60549478	60549582	-1	ENSMGAG00000000532
16	14416296	14416397	1	ENSMGAG00000000490
8	23690793	23690881	1	ENSMGAG00000000374
3	93746646	93746732	-1	ENSMGAG00000000226
23	2665389	2665475	-1	ENSMGAG00000000499
GL425908.1	416	489	1	ENSMGAG00000000264
23	97907	97998	1	ENSMGAG00000000440
Z	737453	737537	1	ENSMGAG00000000365
7	13924481	13924581	-1	ENSMGAG00000000470
1	107983562	107983624	1	ENSMGAG00000000183
20	8647825	8647920	-1	ENSMGAG00000000553
GL424107.1	17826	17914	1	ENSMGAG00000000568
5	52792584	52792681	1	ENSMGAG00000000482
17	1327826	1327912	1	ENSMGAG00000017237
Z	37115293	37115378	1	ENSMGAG00000000120
7	35082127	35082225	-1	ENSMGAG00000017247
GL424952.1	778	862	-1	ENSMGAG00000000467
17	1328156	1328224	1	ENSMGAG00000000477
4	46932274	46932393	-1	ENSMGAG00000000367
10	6312291	6312398	-1	ENSMGAG00000000147
4	39202484	39202564	1	ENSMGAG00000000168
2	102374712	102374796	1	ENSMGAG00000017231
GL424308.1	135	196	1	ENSMGAG00000000277
16	15276127	15276224	-1	ENSMGAG00000000217
1	110986357	110986471	1	ENSMGAG00000016894
1	134618730	134618834	1	ENSMGAG00000000381
1	69716221	69716317	-1	ENSMGAG00000000539
10	5535959	5536053	1	ENSMGAG00000000180
21	7511970	7512062	-1	ENSMGAG00000000356
4	44783556	44783639	1	ENSMGAG00000016834
1	51505833	51505933	1	ENSMGAG00000000336
16	1063456	1063527	1	ENSMGAG00000000623
5	34214447	34214530	-1	ENSMGAG00000017427
22	10419020	10419110	1	ENSMGAG00000000192
3	33882881	33882969	1	ENSMGAG00000000054
15	8090817	8090902	-1	ENSMGAG00000000173
13	8840321	8840405	1	ENSMGAG00000000159
2	101786076	101786170	1	ENSMGAG00000000260
Z	66490409	66490498	-1	ENSMGAG00000000061
1	178110903	178110985	-1	ENSMGAG00000000025
26	5876073	5876152	1	ENSMGAG00000000163
8	35407744	35407839	-1	ENSMGAG00000000021
Z	42464493	42464601	-1	ENSMGAG00000000618
1	162756420	162756522	1	ENSMGAG00000000004
9	15687849	15687936	-1	ENSMGAG00000016488
3	15925144	15925242	1	ENSMGAG00000000082
10	9194074	9194177	-1	ENSMGAG00000000514
1	196427024	196427117	1	ENSMGAG00000000459
Z	44243809	44243905	-1	ENSMGAG00000000572
3	25270019	25270100	-1	ENSMGAG00000000397
28	2079208	2079303	-1	ENSMGAG00000000153
7	33792513	33792622	1	ENSMGAG00000017224
4	46639218	46639332	1	ENSMGAG00000000208
10	23592210	23592314	-1	ENSMGAG00000000318
12	14606779	14606849	1	ENSMGAG00000000200
Z	74389391	74389506	-1	ENSMGAG00000016866
11	23676508	23676575	-1	ENSMGAG00000000478
Z	64138423	64138529	-1	ENSMGAG00000000307
9	3514902	3514982	-1	ENSMGAG00000000187
1	146909795	146909881	1	ENSMGAG00000000194
9	3514439	3514530	-1	ENSMGAG00000000179
8	21661981	21662061	-1	ENSMGAG00000000089
12	1835256	1835353	1	ENSMGAG00000000594
2	66429523	66429638	-1	ENSMGAG00000016701
16	741059	741145	1	ENSMGAG00000000038
12	19154879	19154954	1	ENSMGAG00000000148
10	16811661	16811778	1	ENSMGAG00000016401
22	8209192	8209269	1	ENSMGAG00000000139
21	7685613	7685709	1	ENSMGAG00000000052
6	4049202	4049278	1	ENSMGAG00000000509
GL429030.1	1389	1471	-1	ENSMGAG00000017187
30	4278294	4278388	-1	ENSMGAG00000000571
12	13058841	13058908	-1	ENSMGAG00000000206
21	9794606	9794700	-1	ENSMGAG00000000540
GL425981.1	4261	4354	1	ENSMGAG00000017310
16	14559041	14559142	1	ENSMGAG00000000628
1	88797792	88797865	-1	ENSMGAG00000000294
2	40236430	40236527	1	ENSMGAG00000000117
25	4200953	4201031	1	ENSMGAG00000000332
13	713952	714034	1	ENSMGAG00000000124
2	2198875	2198962	1	ENSMGAG00000000439
13	8757329	8757391	1	ENSMGAG00000000037
Z	17945331	17945399	-1	ENSMGAG00000000145
3	3188135	3188261	1	ENSMGAG00000017192
21	6804451	6804540	1	ENSMGAG00000016534
3	52003922	52004008	-1	ENSMGAG00000000613
16	2526715	2526791	1	ENSMGAG00000000068
2	116454305	116454507	1	ENSMGAG00000000251
22	1046593	1046679	-1	ENSMGAG00000000579
5	60861769	60861856	-1	ENSMGAG00000000041
29	3236343	3236437	-1	ENSMGAG00000000533
GL426675.1	995	1047	1	ENSMGAG00000016485
21	7511675	7511764	-1	ENSMGAG00000000373
9	215982	216081	1	ENSMGAG00000000433
6	1283786	1283858	1	ENSMGAG00000000062
8	19652154	19652273	-1	ENSMGAG00000000300
4	73139974	73140064	-1	ENSMGAG00000000176
15	8091406	8091493	-1	ENSMGAG00000000385
15	2891144	2891220	-1	ENSMGAG00000016796
8	8527912	8528021	1	ENSMGAG00000000421
4	72596102	72596184	-1	ENSMGAG00000000213
14	2596357	2596443	-1	ENSMGAG00000000446
4	50555852	50555957	-1	ENSMGAG00000017311
9	3514142	3514230	-1	ENSMGAG00000000454
17	436359	436441	-1	ENSMGAG00000000016
11	10434819	10434925	1	ENSMGAG00000000376
30	2975247	2975334	1	ENSMGAG00000000518
GL426657.1	680	733	-1	ENSMGAG00000016876
21	9236918	9237008	-1	ENSMGAG00000000345
7	6452775	6452850	1	ENSMGAG00000000191
2	64398881	64398957	-1	ENSMGAG00000016609
12	10548113	10548182	1	ENSMGAG00000000195
5	58817067	58817165	1	ENSMGAG00000000485
GL424107.1	16055	16150	1	ENSMGAG00000000557
14	6259534	6259623	-1	ENSMGAG00000000235
12	15881252	15881340	1	ENSMGAG00000000051
15	11676039	11676111	-1	ENSMGAG00000000005
22	14053781	14053851	1	ENSMGAG00000000528
3	42110505	42110593	1	ENSMGAG00000000289
13	18496334	18496429	1	ENSMGAG00000000151
3	37594887	37594991	1	ENSMGAG00000000162
17	10548769	10548858	1	ENSMGAG00000000146
15	16702068	16702160	1	ENSMGAG00000000228
GL429528.1	1046	1120	1	ENSMGAG00000016929
5	23579838	23579907	-1	ENSMGAG00000000095
28	2671409	2671497	-1	ENSMGAG00000000527
6	8565069	8565155	-1	ENSMGAG00000000174
14	13489972	13490069	1	ENSMGAG00000000558
5	54696660	54696766	-1	ENSMGAG00000000197
3	86558898	86559006	-1	ENSMGAG00000000330
4	2068884	2068994	1	ENSMGAG00000016490
17	7876611	7876690	-1	ENSMGAG00000000132
15	12893243	12893322	-1	ENSMGAG00000000549
3	54418675	54418764	1	ENSMGAG00000000175
1	154014841	154014925	-1	ENSMGAG00000000362
11	15602469	15602559	-1	ENSMGAG00000000014
16	4243760	4243843	1	ENSMGAG00000000452
16	6100902	6100980	1	ENSMGAG00000000453
2	72005860	72005963	1	ENSMGAG00000017153
6	42211139	42211242	-1	ENSMGAG00000000072
3	91652237	91652321	1	ENSMGAG00000000517
16	3531818	3531910	-1	ENSMGAG00000000284
4	24723574	24723671	1	ENSMGAG00000000476
1	8040650	8040747	1	ENSMGAG00000000258
11	22360666	22360757	-1	ENSMGAG00000000169
3	53315657	53315729	-1	ENSMGAG00000000098
21	689254	689360	-1	ENSMGAG00000000474
5	2479743	2479835	-1	ENSMGAG00000000047
1	51940788	51940856	1	ENSMGAG00000000536
23	2551047	2551136	1	ENSMGAG00000000451
17	429118	429237	-1	ENSMGAG00000000245
11	22360838	22360928	-1	ENSMGAG00000000189
4	73176606	73176706	-1	ENSMGAG00000000088
1	172191769	172191867	1	ENSMGAG00000000232
2	12893546	12893640	-1	ENSMGAG00000000304
16	7012807	7012899	1	ENSMGAG00000000584
5	37456467	37456583	-1	ENSMGAG00000017099
3	32760174	32760259	1	ENSMGAG00000000475
12	9761352	9761440	1	ENSMGAG00000000064
Z	44244057	44244141	-1	ENSMGAG00000000303
2	54049849	54049933	-1	ENSMGAG00000000110
4	40348456	40348560	-1	ENSMGAG00000000322
28	3634819	3634908	1	ENSMGAG00000000606
12	13058982	13059072	1	ENSMGAG00000000337
30	2399791	2399860	1	ENSMGAG00000017351
21	8923665	8923749	1	ENSMGAG00000017293
25	299879	299965	-1	ENSMGAG00000016817
GL425786.1	22132	22213	1	ENSMGAG00000000605
1	188986632	188986713	-1	ENSMGAG00000017276
3	67712439	67712508	1	ENSMGAG00000000269
3	93750120	93750190	-1	ENSMGAG00000000134
Z	17944307	17944400	-1	ENSMGAG00000000384
2	14079591	14079680	-1	ENSMGAG00000016696
1	29488430	29488523	1	ENSMGAG00000016661
30	650792	650869	-1	ENSMGAG00000000231
26	3530483	3530562	1	ENSMGAG00000000354
1	201942932	201943022	-1	ENSMGAG00000000364
3	33397689	33397758	-1	ENSMGAG00000000559
7	26650403	26650491	1	ENSMGAG00000017279
8	25055832	25055927	1	ENSMGAG00000000104
1	736545	736630	1	ENSMGAG00000000360
12	1799379	1799462	1	ENSMGAG00000017395
21	511687	511774	-1	ENSMGAG00000000414
19	1744510	1744605	1	ENSMGAG00000000576
7	23750501	23750583	-1	ENSMGAG00000000368
22	2096537	2096608	1	ENSMGAG00000000588
2	65946056	65946138	1	ENSMGAG00000000109
19	9535496	9535586	1	ENSMGAG00000000602
16	9701235	9701345	-1	ENSMGAG00000000262
16	4431311	4431394	-1	ENSMGAG00000016625
GL428256.1	19991	20055	-1	ENSMGAG00000000413
4	58364819	58364927	-1	ENSMGAG00000000156
6	2771341	2771451	1	ENSMGAG00000000282
20	838877	838949	1	ENSMGAG00000000267
GL427073.1	243	315	1	ENSMGAG00000016860
6	41573760	41573855	-1	ENSMGAG00000000405
10	7625159	7625251	-1	ENSMGAG00000000018
1	150676155	150676240	1	ENSMGAG00000000609
4	39202965	39203033	1	ENSMGAG00000000380
1	178587433	178587523	1	ENSMGAG00000000263
5	31438007	31438097	-1	ENSMGAG00000016444
15	960950	961068	-1	ENSMGAG00000000561
1	154014132	154014209	-1	ENSMGAG00000000521
6	22986125	22986218	-1	ENSMGAG00000000457
10	28557073	28557157	1	ENSMGAG00000000026
23	3390252	3390360	-1	ENSMGAG00000000492
1	154014245	154014331	-1	ENSMGAG00000000352
24	2803209	2803377	-1	ENSMGAG00000000538
28	2672311	2672390	-1	ENSMGAG00000000547
17	428171	428247	-1	ENSMGAG00000000048
4	31235413	31235519	-1	ENSMGAG00000000537
Z	42468409	42468547	-1	ENSMGAG00000000160
4	33019249	33019336	-1	ENSMGAG00000000545
12	1286963	1287058	1	ENSMGAG00000000627
4	21337569	21337678	1	ENSMGAG00000000366
26	5875307	5875390	1	ENSMGAG00000000456
