Ensembl Gene ID	Turkey Ensembl Gene ID	Turkey Chromosome Name	Turkey Chromosome Start (bp)	Turkey Chromosome End (bp)	% Identity with respect to query gene	Zebra Finch Ensembl Gene ID	Zebra Finch Chromosome Name	Zebra Finch Chromosome Start (bp)	Zebra Finch Chromosome End (bp)	% Identity with respect to query gene	Chromosome Name	Gene Start (bp)	Gene End (bp)
ENSGALG00000025388											1	51158137	51158222
ENSGALG00000025281											20	13872249	13872334
ENSGALG00000025224											1	51777702	51777802
ENSGALG00000025177											1	97200876	97200960
ENSGALG00000025642											1	168838540	168838632
ENSGALG00000025300											6	11560478	11560546
ENSGALG00000025521											4	79189648	79189738
ENSGALG00000025334											19	9363453	9363556
ENSGALG00000025673											Un_random	38326364	38326428
ENSGALG00000025628											1	104451626	104451706
ENSGALG00000025326											11	20587341	20587444
ENSGALG00000025183											8	12740630	12740727
ENSGALG00000025581											Z	41204914	41205026
ENSGALG00000025373											Un_random	51902066	51902161
ENSGALG00000025203											9	25014275	25014342
ENSGALG00000018285	ENSMGAG00000000475	3	32760174	32760259	100	ENSTGUG00000017907	2_random	838715	838800	99	2	85892470	85892555
ENSGALG00000025269											21	1720026	1720132
ENSGALG00000025159											13	17401478	17401571
ENSGALG00000025263											4	45051725	45051825
ENSGALG00000025439											2	67484923	67485033
ENSGALG00000025184											19	5527608	5527697
ENSGALG00000025225											Z	68835650	68835747
ENSGALG00000025220											14	8284308	8284393
ENSGALG00000025369											1	61691788	61691877
ENSGALG00000025274											11	9553017	9553079
ENSGALG00000025511											3	35344065	35344141
ENSGALG00000025433											Z	15789429	15789502
ENSGALG00000025528											11	1243998	1244091
ENSGALG00000025276											19	9339013	9339079
ENSGALG00000025570											Z	1810563	1810651
ENSGALG00000018318	ENSMGAG00000000479	2	18652881	18652985	100	ENSTGUG00000017638	3	9653890	9653992	85	3	19924793	19924897
ENSGALG00000025292											1	21990299	21990400
ENSGALG00000025332											1	28529937	28530015
ENSGALG00000018354	ENSMGAG00000000572	Z	44243809	44243905	97	ENSTGUG00000017870	Z	9900320	9900414	95	Z	41157642	41157738
ENSGALG00000025467											3	62998490	62998578
ENSGALG00000025335											8	22490945	22491030
ENSGALG00000025524											2	79850282	79850358
ENSGALG00000025371											2	2006058	2006148
ENSGALG00000025473											1	5887350	5887439
ENSGALG00000025546											2	45452355	45452433
ENSGALG00000025563											25	1490876	1490968
ENSGALG00000025416											4	58651698	58651778
ENSGALG00000025293											19	1690727	1690815
ENSGALG00000025508											5	60576033	60576121
ENSGALG00000025289											5	58341162	58341246
ENSGALG00000025489											1	145573042	145573162
ENSGALG00000025324											Un_random	23602405	23602495
ENSGALG00000025287											8	7759515	7759593
ENSGALG00000025636											8	25053168	25053249
ENSGALG00000025459											3	78710207	78710316
ENSGALG00000025523											10	21460942	21461009
ENSGALG00000025157											18	8798785	8798860
ENSGALG00000021809											1	42004777	42004877
ENSGALG00000025429											4	1891993	1892089
ENSGALG00000025365											1	137743231	137743296
ENSGALG00000025492											28	2707379	2707460
ENSGALG00000025545											2	90603851	90603955
ENSGALG00000025176											2	14046710	14046786
ENSGALG00000025381											1	194622059	194622155
ENSGALG00000025286											4	10640690	10640774
ENSGALG00000025327											11	12200275	12200370
ENSGALG00000025396											Z	61446154	61446243
ENSGALG00000021721	ENSMGAG00000000283	3	91652408	91652476	99	ENSTGUG00000017705	19	7265354	7265421	87	19	5823968	5824036
ENSGALG00000025512											Z	34315854	34315939
ENSGALG00000025290											8	5936878	5936967
ENSGALG00000025254											2	32584271	32584371
ENSGALG00000018329	ENSMGAG00000000482	5	52792584	52792681	98	ENSTGUG00000017899	5	52214100	52214197	99	5	53206814	53206911
ENSGALG00000025382											28	1817973	1818079
ENSGALG00000025394											3	35031812	35031912
ENSGALG00000025273											10	587956	588019
ENSGALG00000025553											19	1782806	1782901
ENSGALG00000025169											2	87253053	87253130
ENSGALG00000025232											Un_random	26572525	26572621
ENSGALG00000025268											9	24500772	24500861
ENSGALG00000025328											24	2043673	2043749
ENSGALG00000025445											1	198477356	198477445
ENSGALG00000025380											5	2488503	2488591
ENSGALG00000025551											4	92587438	92587539
ENSGALG00000025352											18	648360	648432
ENSGALG00000025223											7	25926968	25927029
ENSGALG00000018317	ENSMGAG00000000171	2	18652575	18652649	100	ENSTGUG00000017882	Un	94526972	94527046	99	3	19924487	19924561
ENSGALG00000018317	ENSMGAG00000000171	2	18652575	18652649	100	ENSTGUG00000017961	3	9653583	9653657	99	3	19924487	19924561
ENSGALG00000025565											5	41656800	41656892
ENSGALG00000025345											8	20445135	20445212
ENSGALG00000025522											1	108216426	108216516
ENSGALG00000025424											Z	34596479	34596567
ENSGALG00000025491											26	3455234	3455324
ENSGALG00000025451											Un_random	52695737	52695827
ENSGALG00000025412											1	144114537	144114627
ENSGALG00000021785	ENSMGAG00000000378	11	20543778	20543892	85	ENSTGUG00000017685	9	23617057	23617156	72	9	21966405	21966517
ENSGALG00000025265											15	10807724	10807814
ENSGALG00000025275											7	25293057	25293161
ENSGALG00000025156											14	6745553	6745645
ENSGALG00000025207											4	8572345	8572454
ENSGALG00000025321											E22C19W28_E50C23	187325	187414
ENSGALG00000025659											14	4018489	4018572
ENSGALG00000025610											14	9594345	9594455
ENSGALG00000025403											6	29566734	29566810
ENSGALG00000018316	ENSMGAG00000000250	2	2206695	2206801	98	ENSTGUG00000017637	3	28151716	28151822	96	3	280139	280245
ENSGALG00000025313											8	5554872	5554966
ENSGALG00000025131											3	17454203	17454294
ENSGALG00000025357											1	143453192	143453290
ENSGALG00000025538											19	8800028	8800118
ENSGALG00000025170											24	4209057	4209166
ENSGALG00000025515											7	25245058	25245146
ENSGALG00000025261											Z	18238506	18238570
ENSGALG00000025518											24	5273293	5273379
ENSGALG00000025255											8	24908387	24908488
ENSGALG00000025121											2	113232573	113232648
ENSGALG00000025547											1	160786664	160786766
ENSGALG00000025367											20	9654914	9655009
ENSGALG00000025450											2	24751266	24751360
ENSGALG00000025231											3	48111389	48111472
ENSGALG00000025479											21	2359869	2359946
ENSGALG00000025422											14	3330762	3330854
ENSGALG00000018279	ENSMGAG00000000509	6	4049202	4049278	100	ENSTGUG00000017573	Un	100873857	100873930	88	2	4467516	4467592
ENSGALG00000018279	ENSMGAG00000000509	6	4049202	4049278	100	ENSTGUG00000018051	2	4696536	4696609	88	2	4467516	4467592
ENSGALG00000025555											20	8109136	8109213
ENSGALG00000025579											5	60283968	60284072
ENSGALG00000025404											6	13488312	13488410
ENSGALG00000025530											28	1983102	1983183
ENSGALG00000025160											20	4894122	4894203
ENSGALG00000025567											3	78289128	78289225
ENSGALG00000025346											9	14978306	14978403
ENSGALG00000025370											9	1883593	1883649
ENSGALG00000025529											9	6031748	6031831
ENSGALG00000025325											Un_random	3058717	3058802
ENSGALG00000025200											8	5165871	5165944
ENSGALG00000021802	ENSMGAG00000000150	2	31920594	31920707	91	ENSTGUG00000017957	3	36454426	36454526	82	3	32679710	32679821
ENSGALG00000025462											23	5325254	5325329
ENSGALG00000025431											24	5274302	5274377
ENSGALG00000025309											24	5433864	5433950
ENSGALG00000025657											1	170154815	170154918
ENSGALG00000021772	ENSMGAG00000000374	8	23690793	23690881	100	ENSTGUG00000017742	Un	49162031	49162119	92	6	22813068	22813156
ENSGALG00000021772	ENSMGAG00000000374	8	23690793	23690881	100	ENSTGUG00000017865	6	20496791	20496879	92	6	22813068	22813156
ENSGALG00000025323											18	734584	734664
ENSGALG00000025219											Z	64990795	64990872
ENSGALG00000025442											18	10216005	10216069
ENSGALG00000025272											4	16712627	16712731
ENSGALG00000025634											12	17950890	17950980
ENSGALG00000025549											3	14173147	14173241
ENSGALG00000025350											Z	32054387	32054478
ENSGALG00000021732	ENSMGAG00000000208	4	46639218	46639332	99	ENSTGUG00000017627	4	42215172	42215286	97	4	65844695	65844767
ENSGALG00000025378											10	14823390	14823454
ENSGALG00000025443											28	2706112	2706182
ENSGALG00000025209											4	92918514	92918604
ENSGALG00000025577											10	1926428	1926525
ENSGALG00000025516											17	6548914	6548992
ENSGALG00000021791	ENSMGAG00000000517	3	91652237	91652321	99	ENSTGUG00000017747	19	7265532	7265615	85	19	5824123	5824207
ENSGALG00000024494											Z	11619812	11619952
ENSGALG00000021788											2	78310844	78310925
ENSGALG00000025490											9	25115521	25115617
ENSGALG00000025248											2	69711200	69711298
ENSGALG00000025354											15	2251403	2251505
ENSGALG00000025478											18	5840573	5840677
ENSGALG00000025172											9	17298780	17298879
ENSGALG00000025307											10	16350472	16350560
ENSGALG00000025500											2	151547087	151547183
ENSGALG00000025625											22	3344972	3345062
ENSGALG00000025211											8	17168146	17168224
ENSGALG00000025440											26	2086591	2086691
ENSGALG00000025544											Z	44167486	44167595
ENSGALG00000025296											20	1396012	1396085
ENSGALG00000025505											28	2555498	2555592
ENSGALG00000025510											7	1330064	1330139
ENSGALG00000025305											2	40218775	40218871
ENSGALG00000025576											14	15041201	15041302
ENSGALG00000025251											2	77321253	77321345
ENSGALG00000025632											1	104459513	104459605
ENSGALG00000025266											3	3714988	3715089
ENSGALG00000025198											1	200158576	200158669
ENSGALG00000025647											1	15746036	15746181
ENSGALG00000025651											1	104480348	104480435
ENSGALG00000025314											5	30615451	30615539
ENSGALG00000025267											Un_random	9521375	9521457
ENSGALG00000025278											Z	16041927	16041998
ENSGALG00000025580											8	12398260	12398347
ENSGALG00000018355	ENSMGAG00000000050	Z	44243294	44243427	99	ENSTGUG00000018040	Z	9899808	9899875	99	Z	41158175	41158242
ENSGALG00000025213											1	185296332	185296413
ENSGALG00000025217											19	7194813	7194891
ENSGALG00000018276	ENSMGAG00000000019	19	8015533	8015616	100	ENSTGUG00000017938	17	8833559	8833617	70	17	8431742	8431825
ENSGALG00000025215											3	15591886	15591974
ENSGALG00000025559											3	76659763	76659835
ENSGALG00000025150											13	1828160	1828243
ENSGALG00000025168											15	12810580	12810670
ENSGALG00000021733	ENSMGAG00000000052	21	7685613	7685709	100	ENSTGUG00000017797	19	8993788	8993884	100	19	7322072	7322168
ENSGALG00000025187											17	2228319	2228414
ENSGALG00000025395											10	742918	742988
ENSGALG00000025578											1	135141607	135141690
ENSGALG00000025532											2	136620145	136620230
ENSGALG00000021723	ENSMGAG00000000233	1	94949987	94950084	100	ENSTGUG00000017924	2	25436287	25436370	100	2	23068877	23068960
ENSGALG00000025561											11	1919446	1919540
ENSGALG00000025475											4	1226474	1226570
ENSGALG00000025425											3	65613516	65613581
ENSGALG00000025304											9	6500392	6500476
ENSGALG00000025161											1	7266960	7267058
ENSGALG00000025186											12	9668820	9668914
ENSGALG00000025458											8	23417849	23417956
ENSGALG00000025514											2	4199099	4199189
ENSGALG00000025503											3	55810705	55810792
ENSGALG00000025233											10	20000338	20000429
ENSGALG00000025167											Un_random	26716756	26716849
ENSGALG00000025452											14	7801714	7801822
ENSGALG00000025153											4	13536589	13536657
ENSGALG00000025430											15	11747272	11747381
ENSGALG00000025469											Un_random	419967	420053
ENSGALG00000025171											4	64895966	64896053
ENSGALG00000025497											4	47248384	47248473
ENSGALG00000025533											15	769596	769666
ENSGALG00000021921											Un_random	24327424	24327505
ENSGALG00000025419											14	14876163	14876264
ENSGALG00000025318											20	12664073	12664164
ENSGALG00000025495											9	8226405	8226477
ENSGALG00000025465											9	11743528	11743637
ENSGALG00000025477											12	2390252	2390337
ENSGALG00000025539											23	3067920	3068021
ENSGALG00000025421											10	5927121	5927225
ENSGALG00000025315											1	59971074	59971160
ENSGALG00000025569											5	57724751	57724817
ENSGALG00000025180											1	175883149	175883223
ENSGALG00000025303											3	41232686	41232779
ENSGALG00000025537											24	5271413	5271499
ENSGALG00000025542											12	8996102	8996191
ENSGALG00000025535											14	5817641	5817719
ENSGALG00000025202											15	5095750	5095809
ENSGALG00000025520											20	13129454	13129544
ENSGALG00000025406											1	197402402	197402492
ENSGALG00000018248	ENSMGAG00000000521	1	154014132	154014209	100	ENSTGUG00000017978	1	43202354	43202459	94	1	152248070	152248147
ENSGALG00000025218											2	96361604	96361703
ENSGALG00000018259	ENSMGAG00000000530	12	20660412	20660501	97	ENSTGUG00000017715	10	20485775	20485848	93	10	22146245	22146318
ENSGALG00000025550											28_random	3195	3273
ENSGALG00000025543											2	116867241	116867310
ENSGALG00000025596											1	104451838	104451923
ENSGALG00000025534											4	11023002	11023097
ENSGALG00000018278						ENSTGUG00000018074	17	5454955	5455039	96	17	5577817	5577901
ENSGALG00000025525											5	42365934	42366017
ENSGALG00000025239											10	1395848	1395943
ENSGALG00000025128											1	33125853	33125926
ENSGALG00000025253											7	5419755	5419852
ENSGALG00000025387											Z	29407966	29408084
ENSGALG00000025444											18	9615233	9615328
ENSGALG00000025158											8	19191144	19191231
ENSGALG00000025338											5	30170145	30170224
ENSGALG00000025178											5	996847	996937
ENSGALG00000025401											5	40282495	40282575
ENSGALG00000025426											1	199947476	199947555
ENSGALG00000025558											Un_random	50031798	50031876
ENSGALG00000021736	ENSMGAG00000000237	4	39203101	39203173	99	ENSTGUG00000017670	4	2681246	2681318	99	4	58652350	58652422
ENSGALG00000025397											1	73750825	73750930
ENSGALG00000025182											7	1263807	1263894
ENSGALG00000021800	ENSMGAG00000000245	17	429118	429237	88	ENSTGUG00000017643	15	8486754	8486874	83	15	399833	399953
ENSGALG00000025238											7	17931020	17931119
ENSGALG00000025434											4	11666887	11666991
ENSGALG00000025386											2	41377973	41378078
ENSGALG00000025487											1	312691	312787
ENSGALG00000025250											4	52619171	52619258
ENSGALG00000025199											1	149148336	149148421
ENSGALG00000025316											1	139314702	139314798
ENSGALG00000025476											1	130934884	130934988
ENSGALG00000025554											18	10554160	10554232
ENSGALG00000025496											10	222478	222537
ENSGALG00000025344											5	33777662	33777741
ENSGALG00000021804											3	84646682	84646812
ENSGALG00000025222											3	23001998	23002095
ENSGALG00000025249											Un_random	28876304	28876401
ENSGALG00000025414											27	2972019	2972106
ENSGALG00000025509											17	8862951	8863060
ENSGALG00000025149											5	16920987	16921088
ENSGALG00000025333											12	10938255	10938356
ENSGALG00000018239	ENSMGAG00000000536	1	51940788	51940856	63						1	51372262	51372370
ENSGALG00000025353											4	47863649	47863731
ENSGALG00000025216											1	25165359	25165422
ENSGALG00000025311											2	77319215	77319307
ENSGALG00000025280											Un_random	23309936	23310035
ENSGALG00000025571											7	6562728	6562813
ENSGALG00000025448											5	11171642	11171751
ENSGALG00000025363											9	3876871	3876973
ENSGALG00000018344	ENSMGAG00000000414	21	511687	511774	100	ENSTGUG00000017937	19	468495	468582	100	19	496983	497070
ENSGALG00000025376											2	62758708	62758784
ENSGALG00000025330											12	9044610	9044710
ENSGALG00000025243											8	25397767	25397866
ENSGALG00000025362											Un_random	29914559	29914629
ENSGALG00000025606											19	4179190	4179276
ENSGALG00000018286	ENSMGAG00000000559	3	33397689	33397758	100	ENSTGUG00000017984	2	89259054	89259166	97	2	86506451	86506520
ENSGALG00000025163											4	40379665	40379734
ENSGALG00000025230											17	3989308	3989398
ENSGALG00000025312											12	13130851	13130948
ENSGALG00000025179											18	8118915	8119005
ENSGALG00000025197											15	756494	756593
ENSGALG00000025572											2	106946892	106946964
ENSGALG00000025437											15	5760038	5760116
ENSGALG00000021727	ENSMGAG00000000174	6	8565069	8565155	100	ENSTGUG00000017561	2	9797625	9797711	100	2	8765687	8765773
ENSGALG00000025310											19	625967	626073
ENSGALG00000025494											14	12896507	12896577
ENSGALG00000018261	ENSMGAG00000000311	13	19192461	19192521	64	ENSTGUG00000017951	11	11805164	11805233	73	11	21030641	21030735
ENSGALG00000021806											2	133228585	133228667
ENSGALG00000025586											10	1811806	1811869
ENSGALG00000025436											14	12895655	12895720
ENSGALG00000025427											24	3207751	3207840
ENSGALG00000025285											1	192585867	192585960
ENSGALG00000025455											8	21475759	21475823
ENSGALG00000025294											15	7810092	7810171
ENSGALG00000025506											10	11373903	11373991
ENSGALG00000025513											3	24011306	24011380
ENSGALG00000025374											3	99798387	99798481
ENSGALG00000025256											17	3546724	3546801
ENSGALG00000025588											2	42892250	42892326
ENSGALG00000024507	ENSMGAG00000000438	21	5780093	5780192	98						19	5352096	5352195
ENSGALG00000025385											1	87161021	87161124
ENSGALG00000025164											10	17701564	17701652
ENSGALG00000024499											1	88106475	88106545
ENSGALG00000025562											3	44732913	44732971
ENSGALG00000025194											1	53732443	53732525
ENSGALG00000025234											19	5566318	5566387
ENSGALG00000025474											27	3899720	3899798
ENSGALG00000025470											4	30660577	30660680
ENSGALG00000025152											2	118527168	118527243
ENSGALG00000025566											14	5233361	5233450
ENSGALG00000025460											9	15430499	15430602
ENSGALG00000025295											13	18532632	18532726
ENSGALG00000025684											22	2684961	2685059
ENSGALG00000021728	ENSMGAG00000000388	19	4780828	4780913	100	ENSTGUG00000018044	17	5173165	5173250	100	17	5339701	5339786
ENSGALG00000021734	ENSMGAG00000000238	GL424601.1	1455	1547	100	ENSTGUG00000017843	1A	58337845	58337966	96	1	59948701	59948793
ENSGALG00000021734	ENSMGAG00000000238	GL424601.1	1455	1547	100	ENSTGUG00000017579	Un	87366726	87366847	95	1	59948701	59948793
ENSGALG00000025685											Z	68816728	68816816
ENSGALG00000025188	ENSMGAG00000000062	6	1283786	1283858	100	ENSTGUG00000017808	2	2943944	2944016	96	2	1721334	1721406
ENSGALG00000025383											11	21458750	21458846
ENSGALG00000025449											9	16721831	16721921
ENSGALG00000025174											5	54133078	54133163
ENSGALG00000025228											4	16720117	16720221
ENSGALG00000025227											9	5933148	5933218
ENSGALG00000025435											6	3677284	3677350
ENSGALG00000025320											13	17399772	17399865
ENSGALG00000025552											18	6413289	6413373
ENSGALG00000025415											4	91717707	91717797
ENSGALG00000025485											7	20783298	20783375
ENSGALG00000024492	ENSMGAG00000000259	1	736421	736518	89	ENSTGUG00000017617	1A	193600	193696	89	Un_random	22621058	22621127
ENSGALG00000025483											1	556211	556294
ENSGALG00000025379											3	81937337	81937409
ENSGALG00000025340											1	189562105	189562195
ENSGALG00000025235											20	8632244	8632343
ENSGALG00000025245											8	7813654	7813756
ENSGALG00000025690											6	18106507	18106581
ENSGALG00000025400											2	63666692	63666766
ENSGALG00000025240											2	19733987	19734047
ENSGALG00000025291											19	1776157	1776232
ENSGALG00000025297											1	140966218	140966317
ENSGALG00000018281						ENSTGUG00000018115	2	52006670	52006737	97	2	32053543	32053610
ENSGALG00000025298											4	51588988	51589077
ENSGALG00000025457											9	6277070	6277162
ENSGALG00000025288											2	122244446	122244515
ENSGALG00000025366											11	20641236	20641337
ENSGALG00000025301											2	141373919	141374028
ENSGALG00000025236											5	59014807	59014897
ENSGALG00000025214											8	29171100	29171175
ENSGALG00000025189											13	12926221	12926297
ENSGALG00000025271	ENSMGAG00000000477	17	1328156	1328224	100						15	1296916	1296984
ENSGALG00000025252											5	9074445	9074512
ENSGALG00000018245	ENSMGAG00000000183	1	107983562	107983624	100	ENSTGUG00000018101	1	112588982	112589044	95	1	105930213	105930275
ENSGALG00000025348											14	4937108	4937180
ENSGALG00000025456											5	62061086	62061161
ENSGALG00000025175											10	21236745	21236818
ENSGALG00000021774	ENSMGAG00000000033	22	2207895	2207984	99	ENSTGUG00000017969	20	3206365	3206455	97	20	2599334	2599424
ENSGALG00000025173											5	58997736	58997835
ENSGALG00000025471											Z	75709	75799
ENSGALG00000025360											11	9633722	9633806
ENSGALG00000025277											Z	63334957	63335076
ENSGALG00000025432											7	6811316	6811399
ENSGALG00000025299											3	7712006	7712104
ENSGALG00000025151											11	20363859	20363956
ENSGALG00000025342											15	10242915	10243005
ENSGALG00000025447											12	842924	843012
ENSGALG00000025364											2	475530	475627
ENSGALG00000025322											4	49672436	49672528
ENSGALG00000025279											10	18568987	18569060
ENSGALG00000025423											6	16899106	16899180
ENSGALG00000025226											6	34084308	34084404
ENSGALG00000025264											4	12563649	12563721
ENSGALG00000025501											17	9510405	9510494
ENSGALG00000025190											1	179480925	179481018
ENSGALG00000025206											10	19149635	19149727
ENSGALG00000025359											3	107883381	107883471
ENSGALG00000025463											2	79848153	79848229
ENSGALG00000018256	ENSMGAG00000000133	12	3699383	3699467	100	ENSTGUG00000018034	10	3908501	3908567	79	10	5209724	5209808
ENSGALG00000025454											7	11205574	11205660
ENSGALG00000025260											15	5834671	5834773
ENSGALG00000025229											20	964319	964403
ENSGALG00000025343											7	23909930	23910017
ENSGALG00000025201											2	3751023	3751096
ENSGALG00000025488											Un_random	6553562	6553651
ENSGALG00000025133											13	13554113	13554203
ENSGALG00000025181											13	12212334	12212406
ENSGALG00000025575											3	36895820	36895922
