Ensembl Gene ID	Turkey Ensembl Gene ID	Turkey Chromosome Name	Turkey Chromosome Start (bp)	Turkey Chromosome End (bp)	% Identity with respect to query gene	Homology Type	Zebra Finch Ensembl Gene ID	Zebra Finch Chromosome Name	Zebra Finch Chromosome Start (bp)	Zebra Finch Chromosome End (bp)	% Identity with respect to query gene	Homology Type
ENSGALG00000018291	ENSMGAG00000000226	3	93746646	93746732	100	ortholog_one2one	ENSTGUG00000017890	2	149534039	149534125	93	ortholog_one2one
ENSGALG00000018354	ENSMGAG00000000572	Z	44243809	44243905	97	ortholog_one2one	ENSTGUG00000017870	Z	9900320	9900414	95	ortholog_one2one
ENSGALG00000018312	ENSMGAG00000000351	28	3068403	3068498	98	ortholog_one2one	ENSTGUG00000017921	26	3385282	3385376	93	ortholog_one2many
ENSGALG00000018312	ENSMGAG00000000351	28	3068403	3068498	98	ortholog_one2one	ENSTGUG00000017740	26	3381026	3381120	92	ortholog_one2many
ENSGALG00000021778	ENSMGAG00000000099	23	2662896	2662979	99	ortholog_one2one						
ENSGALG00000021952	ENSMGAG00000000264	GL425908.1	416	489	100	ortholog_one2one						
ENSGALG00000018252	ENSMGAG00000000090	1	154014686	154014778	100	ortholog_one2one	ENSTGUG00000017721	1	43202919	43203011	100	ortholog_one2one
ENSGALG00000018274	ENSMGAG00000000227	19	9537117	9537201	98	ortholog_one2one	ENSTGUG00000017650	17	10713236	10713320	98	ortholog_one2one
ENSGALG00000021721	ENSMGAG00000000283	3	91652408	91652476	99	ortholog_one2one	ENSTGUG00000017705	19	7265354	7265421	87	ortholog_one2one
ENSGALG00000025548	ENSMGAG00000000289	3	42110505	42110593	100	ortholog_one2one	ENSTGUG00000017707	2	97931879	97931967	97	ortholog_one2one
ENSGALG00000018329	ENSMGAG00000000482	5	52792584	52792681	98	ortholog_one2one	ENSTGUG00000017899	5	52214100	52214197	99	ortholog_one2one
ENSGALG00000018331	ENSMGAG00000000302	26	3550446	3550517	33	apparent_ortholog_one2one	ENSTGUG00000017762	7	17079282	17079391	99	ortholog_one2one
ENSGALG00000018260	ENSMGAG00000000124	13	713952	714034	100	ortholog_one2one	ENSTGUG00000017600	11	5991075	5991188	98	ortholog_one2one
ENSGALG00000018304	ENSMGAG00000000410	26	3538534	3538605	100	ortholog_one2one	ENSTGUG00000018028	24	3137445	3137516	100	ortholog_one2one
ENSGALG00000018247	ENSMGAG00000000542	1	116538820	116538892	74	ortholog_one2one	ENSTGUG00000017858	1	5261213	5261311	100	ortholog_one2one
ENSGALG00000018317	ENSMGAG00000000171	2	18652575	18652649	100	ortholog_one2one	ENSTGUG00000017882	Un	94526972	94527046	99	ortholog_one2many
ENSGALG00000018317	ENSMGAG00000000171	2	18652575	18652649	100	ortholog_one2one	ENSTGUG00000017961	3	9653583	9653657	99	ortholog_one2many
ENSGALG00000018300	ENSMGAG00000000332	25	4200953	4201031	97	ortholog_one2one						
ENSGALG00000018294	ENSMGAG00000000499	23	2665389	2665475	100	ortholog_one2one	ENSTGUG00000017675	21	5894317	5894403	93	ortholog_one2one
ENSGALG00000021785	ENSMGAG00000000378	11	20543778	20543892	85	ortholog_one2one	ENSTGUG00000017685	9	23617057	23617156	72	ortholog_one2one
ENSGALG00000021786	ENSMGAG00000000015	9	2148896	2148985	100	ortholog_one2one						
ENSGALG00000018327	ENSMGAG00000000156	4	58364819	58364927	100	ortholog_one2one	ENSTGUG00000017889	4	54394630	54394738	100	ortholog_one2one
ENSGALG00000021951	ENSMGAG00000000160	Z	42468409	42468547	99	ortholog_one2one	ENSTGUG00000017806	Z	52731876	52732014	94	ortholog_one2many
ENSGALG00000018316	ENSMGAG00000000250	2	2206695	2206801	98	ortholog_one2one	ENSTGUG00000017637	3	28151716	28151822	96	ortholog_one2one
ENSGALG00000018243	ENSMGAG00000000288	1	104245244	104245337	100	ortholog_one2one	ENSTGUG00000017977	Un	52862179	52862272	100	ortholog_one2many
ENSGALG00000018243	ENSMGAG00000000288	1	104245244	104245337	100	ortholog_one2one	ENSTGUG00000018106	1	109662677	109662770	100	ortholog_one2many
ENSGALG00000025138	ENSMGAG00000000450	Z	920525	920587	44	apparent_ortholog_one2one						
ENSGALG00000018352	ENSMGAG00000000618	Z	42464493	42464601	100	ortholog_one2one	ENSTGUG00000017806	Z	52731876	52732014	96	ortholog_one2many
ENSGALG00000018296	ENSMGAG00000000492	23	3390252	3390360	100	ortholog_one2one	ENSTGUG00000017867	21	5249918	5250025	94	ortholog_one2one
ENSGALG00000018262	ENSMGAG00000000333	14	2959517	2959608	100	ortholog_one2one	ENSTGUG00000017726	12	6512031	6512113	100	ortholog_one2many
ENSGALG00000018262	ENSMGAG00000000333	14	2959517	2959608	100	ortholog_one2one	ENSTGUG00000017812	Un	123478085	123478167	100	ortholog_one2many
ENSGALG00000018237	ENSMGAG00000000301	1	34752634	34752718	100	ortholog_one2one	ENSTGUG00000017777	1A	32383288	32383372	100	ortholog_one2one
ENSGALG00000021910	ENSMGAG00000000195	12	10548113	10548182	100	ortholog_one2many	ENSTGUG00000017883	10	10438188	10438268	99	ortholog_one2many
ENSGALG00000024502	ENSMGAG00000000149	10	29450984	29451059	100	ortholog_one2one	ENSTGUG00000017712	8	26300520	26300595	100	ortholog_one2one
ENSGALG00000018279	ENSMGAG00000000509	6	4049202	4049278	100	ortholog_one2one	ENSTGUG00000017573	Un	100873857	100873930	88	ortholog_one2many
ENSGALG00000018279	ENSMGAG00000000509	6	4049202	4049278	100	ortholog_one2one	ENSTGUG00000018051	2	4696536	4696609	88	ortholog_one2many
ENSGALG00000018338	ENSMGAG00000000189	11	22360838	22360928	100	ortholog_one2one	ENSTGUG00000018035	9	25555972	25556080	80	ortholog_one2one
ENSGALG00000018330	ENSMGAG00000000089	8	21661981	21662061	100	ortholog_one2one	ENSTGUG00000018004	6	18493362	18493442	100	ortholog_one2one
ENSGALG00000018244	ENSMGAG00000000261	1	104277125	104277214	100	ortholog_one2one	ENSTGUG00000017563	1	109696646	109696735	81	ortholog_one2one
ENSGALG00000018322	ENSMGAG00000000046	2	113473474	113473549	99	ortholog_one2one	ENSTGUG00000017820	3	110614735	110614810	100	ortholog_one2one
ENSGALG00000018238	ENSMGAG00000000383	1	47106853	47106961	100	ortholog_one2one	ENSTGUG00000017925	1A	45650410	45650518	100	ortholog_one2one
ENSGALG00000021802	ENSMGAG00000000150	2	31920594	31920707	91	ortholog_one2one	ENSTGUG00000017957	3	36454426	36454526	82	ortholog_one2one
ENSGALG00000021772	ENSMGAG00000000374	8	23690793	23690881	100	ortholog_one2one	ENSTGUG00000017742	Un	49162031	49162119	92	ortholog_one2many
ENSGALG00000021772	ENSMGAG00000000374	8	23690793	23690881	100	ortholog_one2one	ENSTGUG00000017865	6	20496791	20496879	92	ortholog_one2many
ENSGALG00000018254	ENSMGAG00000000370	1	178110761	178110844	100	ortholog_one2one	ENSTGUG00000017800	1	55910029	55910112	98	ortholog_one2one
ENSGALG00000021725	ENSMGAG00000000154	9	3514574	3514658	99	ortholog_one2one	ENSTGUG00000018085	4A	7274092	7274176	95	ortholog_one2one
ENSGALG00000021732	ENSMGAG00000000208	4	46639218	46639332	99	ortholog_one2one	ENSTGUG00000017627	4	42215172	42215286	97	ortholog_one2one
ENSGALG00000021791	ENSMGAG00000000517	3	91652237	91652321	99	ortholog_one2one	ENSTGUG00000017747	19	7265532	7265615	85	ortholog_one2one
ENSGALG00000018246	ENSMGAG00000000105	1	116538309	116538382	76	ortholog_one2many	ENSTGUG00000017636	1	5260709	5260806	96	ortholog_many2many
ENSGALG00000018246	ENSMGAG00000000105	1	116538309	116538382	76	ortholog_one2many	ENSTGUG00000017578	Un	1817273	1817370	96	ortholog_many2many
ENSGALG00000018301	ENSMGAG00000000557	GL424107.1	16055	16150	97	ortholog_one2one	ENSTGUG00000017804	23_random	192851	192939	79	ortholog_one2one
ENSGALG00000018277	ENSMGAG00000000371	19	5199660	5199753	100	ortholog_one2one	ENSTGUG00000018090	17	5549792	5549885	100	ortholog_one2one
ENSGALG00000018326	ENSMGAG00000000578	4	39202665	39202731	99	ortholog_one2one	ENSTGUG00000017989	4	2681574	2681641	87	ortholog_one2one
ENSGALG00000021771	ENSMGAG00000000057	4	39202121	39202192	100	ortholog_one2one	ENSTGUG00000017567	4	2681975	2682046	92	ortholog_one2one
ENSGALG00000018340	ENSMGAG00000000365	Z	737453	737537	99	ortholog_one2one	ENSTGUG00000017648	Z_random	328157	328234	91	ortholog_one2many
ENSGALG00000018249	ENSMGAG00000000352	1	154014245	154014331	100	ortholog_one2one	ENSTGUG00000017886	1	43202481	43202567	100	ortholog_one2one
ENSGALG00000021724	ENSMGAG00000000373	21	7511675	7511764	100	ortholog_one2one	ENSTGUG00000017918	19	8783986	8784075	93	ortholog_one2one
ENSGALG00000018355	ENSMGAG00000000050	Z	44243294	44243427	99	ortholog_one2one	ENSTGUG00000018040	Z	9899808	9899875	99	ortholog_one2one
ENSGALG00000018276	ENSMGAG00000000019	19	8015533	8015616	100	ortholog_one2one	ENSTGUG00000017938	17	8833559	8833617	70	ortholog_one2one
ENSGALG00000021733	ENSMGAG00000000052	21	7685613	7685709	100	ortholog_one2one	ENSTGUG00000017797	19	8993788	8993884	100	ortholog_one2one
ENSGALG00000018309	ENSMGAG00000000153	28	2079208	2079303	100	ortholog_one2one	ENSTGUG00000017706	26_random	713406	713501	95	ortholog_one2one
ENSGALG00000021950	ENSMGAG00000000195	12	10548113	10548182	100	ortholog_one2many	ENSTGUG00000017883	10	10438188	10438268	99	ortholog_one2many
ENSGALG00000021723	ENSMGAG00000000233	1	94949987	94950084	100	ortholog_one2one	ENSTGUG00000017924	2	25436287	25436370	100	ortholog_one2one
ENSGALG00000018269	ENSMGAG00000000406	15	4055052	4055146	100	ortholog_one2one	ENSTGUG00000018076	13	14950567	14950661	99	ortholog_one2one
ENSGALG00000021731	ENSMGAG00000000038	16	741059	741145	100	ortholog_one2one	ENSTGUG00000017651	14	6788931	6789017	100	ortholog_one2one
ENSGALG00000018308	ENSMGAG00000000070	28	1576782	1576873	87	ortholog_one2one	ENSTGUG00000017942	26	532976	533078	88	ortholog_one2one
ENSGALG00000018235	ENSMGAG00000000268	1	3566312	3566400	100	ortholog_one2one						
ENSGALG00000018275	ENSMGAG00000000602	19	9535496	9535586	100	ortholog_one2one	ENSTGUG00000017841	17	10712174	10712264	98	ortholog_one2one
ENSGALG00000018305	ENSMGAG00000000456	26	5875307	5875390	96	ortholog_one2one	ENSTGUG00000017980	24	1752707	1752790	86	ortholog_one2many
ENSGALG00000018305	ENSMGAG00000000456	26	5875307	5875390	96	ortholog_one2one	ENSTGUG00000018103	Un	76202847	76202930	86	ortholog_one2many
ENSGALG00000018292	ENSMGAG00000000083	22	8206689	8206759	100	ortholog_one2one	ENSTGUG00000017758	20	10493666	10493763	99	ortholog_one2one
ENSGALG00000018299	ENSMGAG00000000141	25	4200814	4200877	100	ortholog_one2one						
ENSGALG00000018255	ENSMGAG00000000025	1	178110903	178110985	100	ortholog_one2one	ENSTGUG00000017728	1	55909888	55909970	100	ortholog_one2one
ENSGALG00000021775	ENSMGAG00000000356	21	7511970	7512062	94	ortholog_one2one	ENSTGUG00000017632	19	8784981	8785079	81	ortholog_one2one
ENSGALG00000018283	ENSMGAG00000000405	6	41573760	41573855	99	ortholog_one2one	ENSTGUG00000017811	2	61107956	61108050	91	ortholog_one2one
ENSGALG00000018311	ENSMGAG00000000547	28	2672311	2672390	100	ortholog_one2one	ENSTGUG00000017915	26	3760386	3760465	100	ortholog_one2one
ENSGALG00000018248	ENSMGAG00000000521	1	154014132	154014209	100	ortholog_one2one	ENSTGUG00000017978	1	43202354	43202459	94	ortholog_one2one
ENSGALG00000018259	ENSMGAG00000000530	12	20660412	20660501	97	ortholog_one2one	ENSTGUG00000017715	10	20485775	20485848	93	ortholog_one2one
ENSGALG00000024508	ENSMGAG00000000310	4	72815469	72815597	100	ortholog_one2many	ENSTGUG00000017731	4	69209745	69209873	95	ortholog_one2many
ENSGALG00000021792	ENSMGAG00000000439	2	2198875	2198962	96	ortholog_one2one	ENSTGUG00000017693	3	28144510	28144597	96	ortholog_one2one
ENSGALG00000025526	ENSMGAG00000000537	4	31235413	31235519	94	ortholog_one2one						
ENSGALG00000018313	ENSMGAG00000000533	29	3236343	3236437	100	ortholog_one2one						
ENSGALG00000018236	ENSMGAG00000000312	1	3565301	3565399	90	ortholog_one2one	ENSTGUG00000017869	1A	2715194	2715274	100	ortholog_one2one
ENSGALG00000018328	ENSMGAG00000000213	4	72596102	72596184	100	ortholog_one2one	ENSTGUG00000018054	4	68894825	68894907	96	ortholog_one2one
ENSGALG00000018268	ENSMGAG00000000496	15	4178903	4178980	100	ortholog_one2one						
ENSGALG00000018325	ENSMGAG00000000187	9	3514902	3514982	99	ortholog_one2one	ENSTGUG00000017783	4A	7273724	7273829	86	ortholog_one2one
ENSGALG00000021736	ENSMGAG00000000237	4	39203101	39203173	99	ortholog_one2one	ENSTGUG00000017670	4	2681246	2681318	99	ortholog_one2one
ENSGALG00000021800	ENSMGAG00000000245	17	429118	429237	88	ortholog_one2one	ENSTGUG00000017643	15	8486754	8486874	83	ortholog_one2one
ENSGALG00000021722	ENSMGAG00000000518	30	2975247	2975334	100	ortholog_one2one	ENSTGUG00000017906	10	12969725	12969813	73	apparent_ortholog_one2one
ENSGALG00000018241	ENSMGAG00000000219	1	70956378	70956469	92	ortholog_one2one	ENSTGUG00000017606	1A	61564107	61564191	100	ortholog_one2one
ENSGALG00000018271	ENSMGAG00000000048	17	428171	428247	100	ortholog_one2one	ENSTGUG00000018057	15	8487970	8488046	99	ortholog_one2one
ENSGALG00000018307	ENSMGAG00000000387	28	1576584	1576675	98	ortholog_one2one	ENSTGUG00000018013	26	532798	532880	96	ortholog_one2one
ENSGALG00000024497	ENSMGAG00000000310	4	72815469	72815597	100	ortholog_one2many	ENSTGUG00000017731	4	69209745	69209873	95	ortholog_one2many
ENSGALG00000024498	ENSMGAG00000000408	10	6306457	6306573	92	ortholog_one2one	ENSTGUG00000018073	8_random	1635703	1635819	91	ortholog_one2one
ENSGALG00000018239	ENSMGAG00000000536	1	51940788	51940856	63	ortholog_one2one						
ENSGALG00000021935	ENSMGAG00000000504	25	1933302	1933394	90	ortholog_one2one						
ENSGALG00000018344	ENSMGAG00000000414	21	511687	511774	100	ortholog_one2one	ENSTGUG00000017937	19	468495	468582	100	ortholog_one2one
ENSGALG00000021773	ENSMGAG00000000437	4	39202360	39202424	100	ortholog_one2one	ENSTGUG00000017733	4	2681744	2681808	94	ortholog_one2one
ENSGALG00000018286	ENSMGAG00000000559	3	33397689	33397758	100	ortholog_one2one	ENSTGUG00000017984	2	89259054	89259166	97	ortholog_one2one
ENSGALG00000021727	ENSMGAG00000000174	6	8565069	8565155	100	ortholog_one2one	ENSTGUG00000017561	2	9797625	9797711	100	ortholog_one2one
ENSGALG00000025113	ENSMGAG00000000426	8	5932644	5932699	54	apparent_ortholog_one2one	ENSTGUG00000017674	Z	4868770	4868856	54	apparent_ortholog_one2one
ENSGALG00000018287	ENSMGAG00000000613	3	52003922	52004008	100	ortholog_one2one	ENSTGUG00000017664	2	108161714	108161800	100	ortholog_one2one
ENSGALG00000018261	ENSMGAG00000000311	13	19192461	19192521	64	ortholog_one2one	ENSTGUG00000017951	11	11805164	11805233	73	ortholog_one2one
ENSGALG00000018290	ENSMGAG00000000134	3	93750120	93750190	94	ortholog_one2one	ENSTGUG00000017863	2	149540701	149540777	94	ortholog_one2one
ENSGALG00000018272	ENSMGAG00000000218	17	435144	435236	100	ortholog_one2one	ENSTGUG00000017575	15	8480146	8480238	100	ortholog_one2one
ENSGALG00000021908	ENSMGAG00000000599	15	7834385	7834500	97	ortholog_one2many	ENSTGUG00000017998	13	1397244	1397356	77	ortholog_one2many
ENSGALG00000018288	ENSMGAG00000000573	3	52007832	52007916	100	ortholog_one2one	ENSTGUG00000017653	2	108164863	108164947	100	ortholog_one2one
ENSGALG00000021737	ENSMGAG00000000553	20	8647825	8647920	100	ortholog_one2one						
ENSGALG00000018310	ENSMGAG00000000527	28	2671409	2671497	100	ortholog_one2one	ENSTGUG00000017641	26	3761335	3761443	80	ortholog_one2one
ENSGALG00000018267	ENSMGAG00000000607	15	7396630	7396727	99	ortholog_one2one	ENSTGUG00000017644	13	11635084	11635181	94	ortholog_one2one
ENSGALG00000018266	ENSMGAG00000000235	14	6259534	6259623	99	ortholog_one2one	ENSTGUG00000017619	12	772010	772099	98	ortholog_one2one
ENSGALG00000024507	ENSMGAG00000000438	21	5780093	5780192	98	ortholog_one2one						
ENSGALG00000018242	ENSMGAG00000000358	1	104244508	104244578	86	ortholog_one2one	ENSTGUG00000018062	Un	52861467	52861547	98	ortholog_one2many
ENSGALG00000018242	ENSMGAG00000000358	1	104244508	104244578	86	ortholog_one2one	ENSTGUG00000017678	1	109661965	109662045	98	ortholog_one2many
ENSGALG00000018306	ENSMGAG00000000163	26	5876073	5876152	92	ortholog_one2one	ENSTGUG00000018082	24	1752111	1752199	86	ortholog_one2one
ENSGALG00000018240	ENSMGAG00000000106	1	70955535	70955610	100	ortholog_one2one	ENSTGUG00000017974	1A	61564937	61565043	92	ortholog_one2one
ENSGALG00000021729	ENSMGAG00000000107	16	737381	737463	100	ortholog_one2one	ENSTGUG00000018014	14	6793219	6793301	100	ortholog_one2one
ENSGALG00000021728	ENSMGAG00000000388	19	4780828	4780913	100	ortholog_one2one	ENSTGUG00000018044	17	5173165	5173250	100	ortholog_one2one
ENSGALG00000021734	ENSMGAG00000000238	GL424601.1	1455	1547	100	ortholog_one2one	ENSTGUG00000017843	1A	58337845	58337966	96	ortholog_one2many
ENSGALG00000021734	ENSMGAG00000000238	GL424601.1	1455	1547	100	ortholog_one2one	ENSTGUG00000017579	Un	87366726	87366847	95	ortholog_one2many
ENSGALG00000025188	ENSMGAG00000000062	6	1283786	1283858	100	ortholog_one2one	ENSTGUG00000017808	2	2943944	2944016	96	ortholog_one2one
ENSGALG00000018250	ENSMGAG00000000422	1	154014368	154014465	100	ortholog_one2one	ENSTGUG00000017904	1	43202607	43202704	100	ortholog_one2one
ENSGALG00000018315	ENSMGAG00000000580	2	2204042	2204146	98	ortholog_one2one	ENSTGUG00000017972	3	28149604	28149711	93	ortholog_one2one
ENSGALG00000024492	ENSMGAG00000000259	1	736421	736518	89	ortholog_one2one	ENSTGUG00000017617	1A	193600	193696	89	ortholog_one2one
ENSGALG00000018270	ENSMGAG00000000029	1	1405068	1405165	98	ortholog_one2one	ENSTGUG00000017968	1A	622275	622361	77	ortholog_one2one
ENSGALG00000018293	ENSMGAG00000000096	22	8886858	8886928	74	ortholog_one2one	ENSTGUG00000017807	20	10480776	10480861	89	ortholog_one2one
ENSGALG00000018265	ENSMGAG00000000525	14	6259110	6259196	100	ortholog_one2one	ENSTGUG00000017688	12	772421	772507	100	ortholog_one2one
ENSGALG00000025271	ENSMGAG00000000477	17	1328156	1328224	100	ortholog_one2one						
ENSGALG00000018264	ENSMGAG00000000079	14	6257885	6257987	83	ortholog_one2one	ENSTGUG00000017729	12	773399	773514	82	ortholog_one2one
ENSGALG00000018348	ENSMGAG00000000105	1	116538309	116538382	76	ortholog_one2many	ENSTGUG00000017636	1	5260709	5260806	96	ortholog_many2many
ENSGALG00000018348	ENSMGAG00000000105	1	116538309	116538382	76	ortholog_one2many	ENSTGUG00000017578	Un	1817273	1817370	96	ortholog_many2many
ENSGALG00000018245	ENSMGAG00000000183	1	107983562	107983624	100	ortholog_one2one	ENSTGUG00000018101	1	112588982	112589044	95	ortholog_one2one
ENSGALG00000018337	ENSMGAG00000000169	11	22360666	22360757	94	ortholog_one2one	ENSTGUG00000017983	9	25555821	25555912	80	ortholog_one2one
ENSGALG00000021774	ENSMGAG00000000033	22	2207895	2207984	99	ortholog_one2one	ENSTGUG00000017969	20	3206365	3206455	97	ortholog_one2one
ENSGALG00000018253	ENSMGAG00000000362	1	154014841	154014925	100	ortholog_one2one	ENSTGUG00000017846	1	43203074	43203158	100	ortholog_one2one
ENSGALG00000021770	ENSMGAG00000000500	Z	17944160	17944245	95	ortholog_one2one	ENSTGUG00000017630	Z	47245004	47245088	70	ortholog_one2one
ENSGALG00000018257	ENSMGAG00000000055	12	5217409	5217480	70	ortholog_one2one	ENSTGUG00000017946	10	5338513	5338613	98	ortholog_one2one
ENSGALG00000018303	ENSMGAG00000000354	26	3530483	3530562	100	ortholog_one2one	ENSTGUG00000018114	24	3150032	3150111	94	ortholog_one2many
ENSGALG00000018303	ENSMGAG00000000354	26	3530483	3530562	100	ortholog_one2one	ENSTGUG00000018048	24	3146862	3146941	94	ortholog_one2many
ENSGALG00000018332	ENSMGAG00000000202	7	32359204	32359285	100	ortholog_one2one	ENSTGUG00000017571	7	33186762	33186843	98	ortholog_one2one
ENSGALG00000018335	ENSMGAG00000000147	10	6312291	6312398	100	ortholog_one2one	ENSTGUG00000017950	8_random	1629744	1629856	98	ortholog_one2one
ENSGALG00000018256	ENSMGAG00000000133	12	3699383	3699467	100	ortholog_one2one	ENSTGUG00000018034	10	3908501	3908567	79	ortholog_one2one
ENSGALG00000018295	ENSMGAG00000000166	23	2667706	2667790	96	ortholog_one2one	ENSTGUG00000017833	21	5892891	5892977	74	ortholog_one2one
ENSGALG00000021730	ENSMGAG00000000514	10	9194074	9194177	100	ortholog_one2one	ENSTGUG00000017787	8	5108627	5108753	99	ortholog_one2one
ENSGALG00000021782	ENSMGAG00000000170	8	25386761	25386865	98	ortholog_one2one	ENSTGUG00000017676	6	22623568	22623671	88	ortholog_one2one
ENSGALG00000018273	ENSMGAG00000000016	17	436359	436441	100	ortholog_one2one	ENSTGUG00000017813	15	8478899	8478981	100	ortholog_one2one
ENSGALG00000021726	ENSMGAG00000000592	10	9193900	9193988	100	ortholog_one2one	ENSTGUG00000017633	8	5108468	5108556	99	ortholog_one2one
ENSGALG00000018324	ENSMGAG00000000598	9	3514770	3514853	95	ortholog_one2one	ENSTGUG00000018006	4A	7273887	7273978	93	ortholog_one2one
