locus	turk/chick	turk/finch
ENSMGAG00000000496	0.0	0.0
ENSMGAG00000000499	0.0	0.0
ENSMGAG00000000500	0.0	0.049
ENSMGAG00000000502	0.0	0.038
ENSMGAG00000000509	0.0	0.0
ENSMGAG00000000513	0.0	0.04
ENSMGAG00000000514	0.0	0.0
ENSMGAG00000000515	0.0	0.146
ENSMGAG00000000516	0.0	0.044
ENSMGAG00000000517	0.0	0.0
ENSMGAG00000000518	0.0	0.0
ENSMGAG00000000520	0.0	0.067
ENSMGAG00000000521	0.0	0.0
ENSMGAG00000000522	0.0	0.025
ENSMGAG00000000523	0.0	0.02
ENSMGAG00000000524	0.0	0.022
ENSMGAG00000000525	0.0	0.0
ENSMGAG00000000527	0.0	0.0
ENSMGAG00000000530	0.0	0.012
ENSMGAG00000000531	0.0	0.054
ENSMGAG00000000532	0.0	0.053
ENSMGAG00000000533	0.0	0.0
ENSMGAG00000000536	0.0	0.0
ENSMGAG00000000537	0.0	0.031
ENSMGAG00000000538	0.0	0.006
ENSMGAG00000000539	0.0	0.082
ENSMGAG00000000540	0.0	0.082
ENSMGAG00000000542	0.0	0.0
ENSMGAG00000000545	0.0	0.061
ENSMGAG00000000547	0.0	0.0
ENSMGAG00000000548	0.0	0.054
ENSMGAG00000000553	0.0	0.0
ENSMGAG00000000556	0.0	0.058
ENSMGAG00000000557	0.0	0.022
ENSMGAG00000000558	0.0	0.068
ENSMGAG00000000559	0.0	0.0
ENSMGAG00000000567	0.0	0.012
ENSMGAG00000000568	0.0	0.0
ENSMGAG00000000571	0.0	0.033
ENSMGAG00000000572	0.0	0.032
ENSMGAG00000000573	0.0	0.0
ENSMGAG00000000576	0.0	0.032
ENSMGAG00000000577	0.0	0.013
ENSMGAG00000000578	0.0	0.015
ENSMGAG00000000580	0.0	0.01
ENSMGAG00000000581	0.0	0.112
ENSMGAG00000000592	0.0	0.0
ENSMGAG00000000594	0.0	0.011
ENSMGAG00000000597	0.0	0.048
ENSMGAG00000000598	0.0	0.012
ENSMGAG00000000599	0.0	0.026
ENSMGAG00000000600	0.0	0.0
ENSMGAG00000000602	0.0	0.0
ENSMGAG00000000605	0.0	0.013
ENSMGAG00000000606	0.0	0.085
ENSMGAG00000000607	0.0	0.0
ENSMGAG00000000609	0.0	0.013
ENSMGAG00000000610	0.0	0.0
ENSMGAG00000000613	0.0	0.0
ENSMGAG00000000618	0.0	0.0
ENSMGAG00000000626	0.0	0.072
ENSMGAG00000000628	0.0	0.02
ENSMGAG00000016488	0.0	0.0
ENSMGAG00000016490	0.0	0.0
ENSMGAG00000016538	0.0	0.072
ENSMGAG00000016539	0.0	0.038
ENSMGAG00000016625	0.0	0.024
ENSMGAG00000016646	0.0	0.063
ENSMGAG00000016648	0.0	0.046
ENSMGAG00000016706	0.0	0.026
ENSMGAG00000016794	0.0	0.026
ENSMGAG00000016817	0.0	0.024
ENSMGAG00000016876	0.0	0.059
ENSMGAG00000016894	0.0	0.113
ENSMGAG00000016924	0.0	0.015
ENSMGAG00000016977	0.0	0.019
ENSMGAG00000017237	0.0	0.0
ENSMGAG00000017276	0.0	0.0
ENSMGAG00000017279	0.0	0.012
ENSMGAG00000017310	0.0	0.089
ENSMGAG00000017311	0.0	0.0
ENSMGAG00000017333	0.0	0.034
ENSMGAG00000017351	0.0	0.014
ENSMGAG00000017395	0.0	0.0
